autoconf: Generates build scripts, 10 MB build, 5 MB installed
automake: Automates Makefile creation, 10 MB build, 5 MB installed
binutils-m68k: M68k binary utilities, 80 MB build time, 30 MB installed
bison: Parser generator, 20 MB build time
busybox: Multi-tool for Unix commands, 2.6 MB build time
cmake: Cross-platform build system, 40 MB build time
clib2: C library for AmigaOS, 50 MB build time
cloog: Code optimization library, 15 MB build time
db101: Database tool for debugging, 5 MB build time
expat: XML parsing library, 3 MB build time
fd2pragma: Converts FD to pragma files, 10 MB build time
fd2sfd: Converts FD to SFD files, 10 MB build time
flex: Lexical analyzer generator, 2 MB build time
fontconfig: Font configuration library, 4 MB build time
freetype: Font rendering library, 5 MB build time
gawk: GNU awk for text processing, 20 MB build time
gcc-m68k: M68k C/C++ compiler, 150 MB build time
gdb: GNU debugger, source
giflib: GIF image library, 4 MB build time
git: Version control system, 150 MB build time
gmp-gmp: Arbitrary precision math, 64 MB build time
isl: Integer set library for compilers, 20 MB build time
ixemul: Unix emulation library for M68k, 100 MB build time
libbz2: Bzip2 compression library, 2 MB build time
libcurl-m68k: M68k HTTP client library, 3 MB build time
libcurl-ppc: PPC HTTP client library, 10 MB build time
libdebug: Debugging library for M68k, 10 MB build time
libffi: Foreign function interface, 10 MB build time
libiconv-mesa: Character encoding conversion, 12 MB build time
libintl: Internationalization library, 10 MB build time
libjpeg: JPEG image processing, 3 MB build time
libmpg123: MP3 decoding library, 20 MB build time
libnix: POSIX layer for M68k, 15 MB build time
libogg: Ogg multimedia container, 3 MB build time
libpng: PNG image library, 3 MB build time
libsndfile: Audio file I/O library, 20 MB build time
libtheora: Theora video codec, 15 MB build time
libtool: Library build tool, 15 MB build time
libvorbis: Vorbis audio codec, 12 MB build time
lib şartları2: XML parsing library, 2 MB build time
m4: Macro processor, 2 MB build time
make: Build automation tool, 15 MB build time
mpc: Multiple-precision complex math, 3 MB build time
mpfr: Multiple-precision floating-point, 20 MB build time
newlib: C library for embedded systems, 2.4 MB build time
perl: Perl scripting language, 150 MB build time
pkg-config: Package configuration tool, 2 MB build time
sfdc-config: SFD file processing tool, 2 MB build time
texinfo: Documentation system, 20 MB build time
vasm-gcc: M68k assembler, 10 MB build time
vbcc-m68k-bin: M68k compiler binaries, 10 MB build time
vbcc-m68k-target: M68k compiler target files, 100 MB build time
vbcc-ppc-bin: PPC compiler binaries, 100 MB build time
vbcc-ppc-targets: PPC target files, 100 MB build time
vlink-gcc: Amiga linker, 10 MB build time
zlib: Compression library, 2 MB build time
